dataset,classifier,aggregation,original_size,reduced_size,reduction_percent,accuracy,original_accuracy,acc_diff_percent,elapsed_time,baseline_time,time_diff
HouseTwenty,Catch22,variance,2000,100,95.0,0.8824,0.9664,-8.4,0.29,0.79,-0.5
HouseTwenty,Catch22,std,2000,100,95.0,0.8908,0.9664,-7.56,0.28,0.79,-0.51
HouseTwenty,Catch22,iqr,2000,100,95.0,0.8992,0.9664,-6.72,0.31,0.79,-0.48
HouseTwenty,Catch22,first,2000,100,95.0,0.916,0.9664,-5.04,0.29,0.79,-0.5
HouseTwenty,Catch22,central,2000,100,95.0,0.9244,0.9664,-4.2,0.29,0.79,-0.5
HouseTwenty,Catch22,last,2000,100,95.0,0.9076,0.9664,-5.88,0.29,0.79,-0.5
HouseTwenty,Catch22,max-min,2000,100,95.0,0.8908,0.9664,-7.56,0.29,0.79,-0.5
HouseTwenty,Catch22,avg-max,2000,100,95.0,0.9328,0.9664,-3.36,0.31,0.79,-0.48
HouseTwenty,Catch22,avg-min,2000,100,95.0,0.8908,0.9664,-7.56,0.29,0.79,-0.5
HouseTwenty,Catch22,random,2000,100,95.0,0.8824,0.9664,-8.4,0.28,0.79,-0.51
